Sample,Pathway,SIZE,NES,FDR q-val
Unvax_Mtb,KRAS_SIGNALING_DN,107,-0.8175856,0.8923861
CoTB_Mtb,KRAS_SIGNALING_UP,175,1.559039,0.011098015
scBCG_Mtb,KRAS_SIGNALING_UP,175,1.6225514,0.005719771
Unvax_Mtb,KRAS_SIGNALING_UP,175,-0.95667773,0.7388792
CoTB_Mtb,MITOTIC_SPINDLE,260,0.80137086,0.8913383
scBCG_Mtb,MITOTIC_SPINDLE,260,0.7481936,1
Unvax_Mtb,MITOTIC_SPINDLE,260,1.0168108,0.54539704
CoTB_Mtb,MTORC1_SIGNALING,236,1.548065,0.01195599
scBCG_Mtb,MTORC1_SIGNALING,236,1.0910914,0.40031633
Unvax_Mtb,MTORC1_SIGNALING,236,1.5463177,0.03947663
CoTB_Mtb,MYC_TARGETS_V1,228,1.7720506,0.001254992
scBCG_Mtb,MYC_TARGETS_V1,228,0.8698379,0.86996275
Unvax_Mtb,MYC_TARGETS_V1,228,2.2731981,1.00E-06
CoTB_Mtb,MYC_TARGETS_V2,61,1.2490855,0.14615092
scBCG_Mtb,MYC_TARGETS_V2,61,0.5604648,0.99817777
Unvax_Mtb,MYC_TARGETS_V2,61,1.4317021,0.046861805
CoTB_Mtb,MYOGENESIS,139,1.0572098,0.39582428
scBCG_Mtb,MYOGENESIS,139,-1.1852858,0.28008062
Unvax_Mtb,MYOGENESIS,139,0.8623183,0.91723496
CoTB_Mtb,NOTCH_SIGNALING,33,1.1785177,0.22871062
scBCG_Mtb,NOTCH_SIGNALING,33,1.1528555,0.32784536
Unvax_Mtb,NOTCH_SIGNALING,33,1.4750887,0.035987787
CoTB_Mtb,OXIDATIVE_PHOSPHORYLATION,220,-1.101224,0.36400536
scBCG_Mtb,OXIDATIVE_PHOSPHORYLATION,220,-0.92363936,0.8990772
Unvax_Mtb,OXIDATIVE_PHOSPHORYLATION,220,-1.1542674,0.29253903
CoTB_Mtb,P53_PATHWAY,214,1.4048738,0.043846488
scBCG_Mtb,P53_PATHWAY,214,1.3438519,0.08024293
Unvax_Mtb,P53_PATHWAY,214,1.2103488,0.19407937
CoTB_Mtb,PANCREAS_BETA_CELLS,21,1.0207647,0.46996942
scBCG_Mtb,PANCREAS_BETA_CELLS,21,1.0280817,0.50880843
Unvax_Mtb,PANCREAS_BETA_CELLS,21,0.7504117,0.9828676
CoTB_Mtb,PEROXISOME,108,-1.2918139,0.19595441
scBCG_Mtb,PEROXISOME,108,-1.308508,0.12840255
Unvax_Mtb,PEROXISOME,108,-1.4089906,0.24240455
CoTB_Mtb,PI3K_AKT_MTOR_SIGNALING,135,1.4470569,0.030098695
scBCG_Mtb,PI3K_AKT_MTOR_SIGNALING,135,1.1474307,0.32607123
Unvax_Mtb,PI3K_AKT_MTOR_SIGNALING,135,1.4840963,0.03651065
CoTB_Mtb,PROTEIN_SECRETION,115,1.1964993,0.20724618
scBCG_Mtb,PROTEIN_SECRETION,115,0.7314272,1
Unvax_Mtb,PROTEIN_SECRETION,115,1.4739146,0.03327925
CoTB_Mtb,REACTIVE_OXYGEN_SPECIES_PATHWAY,55,1.5740204,0.009457442
scBCG_Mtb,REACTIVE_OXYGEN_SPECIES_PATHWAY,55,1.615369,0.005785732
Unvax_Mtb,REACTIVE_OXYGEN_SPECIES_PATHWAY,55,-1.0880884,0.41927356
CoTB_Mtb,SPERMATOGENESIS,94,1.2359409,0.15661415
scBCG_Mtb,SPERMATOGENESIS,94,1.1073234,0.37575227
Unvax_Mtb,SPERMATOGENESIS,94,1.5058062,0.032177396
CoTB_Mtb,TGF_BETA_SIGNALING,78,1.1456467,0.27197337
scBCG_Mtb,TGF_BETA_SIGNALING,78,0.84248,0.9092541
Unvax_Mtb,TGF_BETA_SIGNALING,78,1.5452939,0.032897193
CoTB_Mtb,TNFA_SIGNALING_VIA_NFKB,228,2.8757112,1.00E-06
scBCG_Mtb,TNFA_SIGNALING_VIA_NFKB,228,2.5210505,1.00E-06
Unvax_Mtb,TNFA_SIGNALING_VIA_NFKB,228,2.1779103,1.00E-06
CoTB_Mtb,UNFOLDED_PROTEIN_RESPONSE,146,1.385395,0.047822066
scBCG_Mtb,UNFOLDED_PROTEIN_RESPONSE,146,1.3356676,0.082546495
Unvax_Mtb,UNFOLDED_PROTEIN_RESPONSE,146,1.8923305,5.36E-04
CoTB_Mtb,UV_RESPONSE_DN,172,1.2906973,0.110413715
scBCG_Mtb,UV_RESPONSE_DN,172,1.1645674,0.3169714
Unvax_Mtb,UV_RESPONSE_DN,172,1.2322261,0.17036894
CoTB_Mtb,UV_RESPONSE_UP,197,1.745997,0.001543212
scBCG_Mtb,UV_RESPONSE_UP,197,1.7932966,6.19E-04
Unvax_Mtb,UV_RESPONSE_UP,197,1.5067798,0.035868797
CoTB_Mtb,WNT_BETA_CATENIN_SIGNALING,40,1.0689368,0.39026445
scBCG_Mtb,WNT_BETA_CATENIN_SIGNALING,40,-0.88116103,0.854226
Unvax_Mtb,WNT_BETA_CATENIN_SIGNALING,40,1.3318043,0.09532348
CoTB_Mtb,XENOBIOTIC_METABOLISM,167,1.257132,0.14225787
scBCG_Mtb,XENOBIOTIC_METABOLISM,167,1.4473519,0.031462204
Unvax_Mtb,XENOBIOTIC_METABOLISM,167,-1.2035089,0.28094015
