pathway,fgsea.FDR,fgsea.ES,fgsea.NES,fgsea.size,fgsea.FC,gage.FDR,gage.geomean,gage.statmean,gage.size,gage.FC,group
BIOCARTA_GRANULOCYTES_PATHWAY,0.02493657248114552,0.9253553004490445,2.0527990482989136,14,up,0.14266963445088374,0.008443696905337403,2.6922243104295456,14,up,AM
BIOCARTA_LYM_PATHWAY,0.02493657248114552,0.8801526488946575,1.9246508598705585,13,up,0.1929764525326107,0.015677171413107066,2.351329926355873,13,up,AM
BIOCARTA_ARAP_PATHWAY,0.6887919304711075,0.4950187563341647,1.12799512524016,17,up,0.5995981824520963,0.20804859355806812,0.8238977371747738,17,up,AM
BIOCARTA_AGR_PATHWAY,0.8840221728390981,0.3659086701091855,0.9075617065640876,28,up,0.6579079879257524,0.29231798175201384,0.5501838068480467,28,up,AM
BIOCARTA_AKAP95_PATHWAY,0.7447585094643918,0.5222214460734587,1.0810845212506381,10,up,0.6717633986917938,0.32468526810950266,0.4627632592916397,10,up,AM
BIOCARTA_AKT_PATHWAY,0.4063063063063063,0.5904303630244692,1.3762185213247333,20,up,0.5135541631734364,0.13855570275324489,1.1027360381276547,20,up,AM
BIOCARTA_ALK_PATHWAY,0.7179633595051155,0.4221088603547547,1.0792732278885409,31,up,0.6258950939394039,0.23940909316715578,0.7127549367976114,31,up,AM
BIOCARTA_AT1R_PATHWAY,1,0.29447360504473896,0.7237078520101546,27,up,0.7143643839373415,0.42066639105746456,0.2013234569515814,27,up,AM
BIOCARTA_ACE2_PATHWAY,0.9558574921960387,0.38755075719469306,0.7872908504039817,9,up,NA,NA,NA,NA,NA,AM
BIOCARTA_ASBCELL_PATHWAY,0.02493657248114552,0.8728885560831341,1.866323983685205,12,up,0.13665202666853046,0.007420765399843307,2.706987418516553,12,up,AM
BIOCARTA_DNAFRAGMENT_PATHWAY,0.8707756164185521,0.44930239015283585,0.9301300492489155,10,up,0.7382038815398743,0.460880430530505,0.099801028127111,10,up,AM
BIOCARTA_CHEMICAL_PATHWAY,0.8083145826636666,0.4420932701454683,1.0163990271637844,18,up,0.6883781585413051,0.3657590902534139,0.34639398826659473,18,up,AM
BIOCARTA_SPPA_PATHWAY,0.996782390671047,0.31468945957453387,0.7062177370711312,16,up,0.7654087145894057,0.5302132196776244,-0.07644390956729183,16,up,AM
BIOCARTA_ATM_PATHWAY,0.17566996082621084,0.6676444905266565,1.541037480052702,19,up,0.34977461129649,0.04824064557388827,1.7077799592728942,19,up,AM
BIOCARTA_AGPCR_PATHWAY,0.7395811834558254,-0.483922587720564,-1.072221201683497,10,down,0.8510937529234738,0.7362891603300098,-0.6534333272814462,10,up,AM
BIOCARTA_BCELLSURVIVAL_PATHWAY,1,0.26610730111113856,0.5940547290383261,15,up,0.7654087145894057,0.5297572198991078,-0.07558426125935581,15,up,AM
BIOCARTA_BLYMPHOCYTE_PATHWAY,0.16043042308632915,0.7519881945256573,1.6078267874068732,12,up,0.45874630946941203,0.10603875645275904,1.2865575315174234,12,up,AM
BIOCARTA_BCR_PATHWAY,1,0.22233072411773497,0.5703912034110699,32,up,0.7861884477769122,0.5848131807237771,-0.21549539021334135,32,up,AM
BIOCARTA_BIOPEPTIDES_PATHWAY,1,0.27327015709270136,0.6715975728214753,27,up,0.7490108579656265,0.4903263503207399,0.024389323627264013,27,up,AM
BIOCARTA_RANKL_PATHWAY,0.04085322021593845,0.7815301618804915,1.7089907074268138,13,up,0.37510778979101955,0.05959971166338458,1.6551578137326193,13,up,AM
BIOCARTA_CACAM_PATHWAY,0.7537301734334697,0.5278293612069386,1.0722601335134008,9,up,NA,NA,NA,NA,NA,AM
BIOCARTA_CDMAC_PATHWAY,0.06655165057368914,0.746429682915274,1.6751176930547744,16,up,0.4570072432028103,0.10412618755666529,1.3009734991167428,16,up,AM
BIOCARTA_CARM_ER_PATHWAY,1,-0.23673695805658979,-0.6765871250327761,24,down,0.8496601894278107,0.7280335990067157,-0.6143242794281895,24,up,AM
BIOCARTA_CASPASE_PATHWAY,0.2518832736049148,0.62585238771859375,1.4888916818073923,22,up,0.39908785007068437,0.07164084031748602,1.491943375756315,22,up,AM
BIOCARTA_CBL_PATHWAY,0.738675360329444,0.5109550237053342,1.0924734992572016,12,up,0.6811350501115895,0.3438996623443785,0.4071978552829896,12,up,AM
BIOCARTA_CCR3_PATHWAY,1,0.22092044792543208,0.4957838086397255,16,up,0.7860060285478401,0.5838599538809135,-0.21485679402731805,16,up,AM
BIOCARTA_CD40_PATHWAY,0.04085322021593845,0.7783269770094219,1.726632869444825,14,up,0.20562168364076883,0.01818109141706977,2.207029163416192,14,up,AM
BIOCARTA_MCM_PATHWAY,0.9613360130155997,0.3419061803808228,0.7860628799122106,18,up,0.7967556924533511,0.5988783065080862,-0.25242985897668385,18,up,AM
BIOCARTA_G1_PATHWAY,0.5429311207032689,0.5115928094379368,1.2689014530890028,28,up,0.611980667964915,0.22084242298494083,0.7752035018176753,28,up,AM
BIOCARTA_G2_PATHWAY,0.8237933723383389,0.4096194885954691,0.9823421420330123,23,up,0.7040343966740956,0.3973994943523808,0.26176117554769224,23,up,AM
BIOCARTA_CELL2CELL_PATHWAY,0.9779997088138889,0.3597421961398846,0.7447256768402303,10,up,0.710767882954445,0.4115388154574565,0.22792426562853285,10,up,AM
BIOCARTA_LAIR_PATHWAY,0.02493657248114552,0.925459802264895,2.053030874093848,14,up,0.20720631422485286,0.01860020774011246,2.296716940086486,14,up,AM
BIOCARTA_CERAMIDE_PATHWAY,0.5586539070917041,0.5313116482045035,1.2527914069891315,21,up,0.5306332338459594,0.15375182088272255,1.036049208961443,21,up,AM
BIOCARTA_TID_PATHWAY,0.02493657248114552,0.8207012240723519,1.886841492666898,18,up,0.23086131324105427,0.022692382226117955,2.123866084669453,18,up,AM
BIOCARTA_CLASSIC_PATHWAY,0.573232750011523,0.5778267296468376,1.2635475374273217,13,up,0.5687665466488782,0.17987692875116476,0.9356112236189142,13,up,AM
BIOCARTA_COMP_PATHWAY,0.2864145349946433,0.6587823877017068,1.4784219582506337,16,up,0.44628827093698004,0.09475173165688051,1.342511820378347,16,up,AM
BIOCARTA_VDR_PATHWAY,1,0.17194482222653973,0.4169425065808782,24,up,0.8066383632545511,0.6231609914672056,-0.3170929358204002,24,up,AM
BIOCARTA_HDAC_PATHWAY,0.9509023471287622,0.34540658456153417,0.8283479023762382,23,up,0.7605817618075632,0.5154750719611403,-0.03903557810255115,23,up,AM
BIOCARTA_GCR_PATHWAY,0.44869062645538527,0.6010707396359346,1.369654898038129,17,up,0.48195566653499844,0.12243577525081203,1.1860416882936262,17,up,AM
BIOCARTA_CTCF_PATHWAY,1,-0.2465776294125819,-0.7047114685902849,24,down,0.8452586856768792,0.712781754250885,-0.5678182714641593,24,up,AM
BIOCARTA_CTL_PATHWAY,0.48054514480408855,0.6125458003003713,1.3394685600716882,13,up,0.4570072432028103,0.10314584287904575,1.3065512860465553,13,up,AM
BIOCARTA_CXCR4_PATHWAY,0.9859696490084721,0.32693955621196136,0.7516537104621728,18,up,0.7644590892886193,0.5215340285990581,-0.05442120836330545,18,up,AM
BIOCARTA_CELLCYCLE_PATHWAY,0.567775201089013,0.5140200708771676,1.2327137539398385,23,up,0.5499591380143837,0.16801462763640576,0.9728176177893246,23,up,AM
BIOCARTA_CFTR_PATHWAY,0.9965069224198123,-0.33639192205768875,-0.7281090195483331,9,down,NA,NA,NA,NA,NA,AM
BIOCARTA_CYTOKINE_PATHWAY,0.02493657248114552,0.936768109681041,2.078117111445567,14,up,0.03903151468841296,9.635248239958312e-4,3.789560629121406,14,up,AM
BIOCARTA_INFLAM_PATHWAY,0.02493657248114552,0.9401510049347203,2.2546533495971897,23,up,0.01695375858876415,2.913328590712916e-4,3.954292479237222,23,up,AM
BIOCARTA_D4GDI_PATHWAY,0.3757856145251397,0.6666864895516273,1.4254431179993554,12,up,0.401510013910313,0.07333434779428782,1.5046779931495509,12,up,AM
BIOCARTA_DC_PATHWAY,0.02493657248114552,0.8936801051600776,1.9825311082846078,14,up,0.1879558393338094,0.014249385764879226,2.4278434452663693,14,up,AM
BIOCARTA_P35ALZHEIMERS_PATHWAY,0.996782390671047,0.34601866212337756,0.6910624837462308,8,up,NA,NA,NA,NA,NA,AM
BIOCARTA_RNA_PATHWAY,0.30424547268992036,0.716549631366107,1.4833759145708894,10,up,0.3658642901341616,0.056817344877208194,1.6641710899739477,10,up,AM
BIOCARTA_MTA3_PATHWAY,0.7862806564632123,-0.39073940137971686,-1.0059738974297667,16,down,0.8727446449476755,0.7912675865324525,-0.8229619807478803,16,up,AM
BIOCARTA_SKP2E2F_PATHWAY,0.8707756164185521,0.45033801029787773,0.9322739537498093,10,up,0.6701276827336388,0.32122817107698665,0.4722039934169666,10,up,AM
BIOCARTA_CALCINEURIN_PATHWAY,0.2661257606490872,0.6495636523322393,1.480155295104302,17,up,0.6257232968044694,0.23787595708859327,0.7225156745457874,17,up,AM
BIOCARTA_EGF_PATHWAY,0.9611235582109368,0.33127036214379324,0.81414075188602,27,up,0.7040343966740956,0.3981101907346532,0.2599112771629665,27,up,AM
BIOCARTA_ETC_PATHWAY,0.6999364433173632,0.5540614527852958,1.125549374479133,9,up,NA,NA,NA,NA,NA,AM
BIOCARTA_NDKDYNAMIN_PATHWAY,1,0.2866782212313973,0.6532512797216977,17,up,0.7414728663267813,0.46734084518025926,0.08295729740042412,17,up,AM
BIOCARTA_EPHA4_PATHWAY,0.2511343012704174,0.7856239833788392,1.5037779218729541,7,up,NA,NA,NA,NA,NA,AM
BIOCARTA_EPO_PATHWAY,0.9387205387205387,0.3575921812673153,0.825383810884201,19,up,0.6934853530692502,0.375957411324615,0.31914367755820056,19,up,AM
BIOCARTA_ECM_PATHWAY,1,-0.209425778468311,-0.5471754322666826,18,down,0.7787457144097967,0.5672819993209606,-0.17160177154709208,18,up,AM
BIOCARTA_ERK_PATHWAY,0.9258896477354421,0.35403937044432493,0.8584967004524819,24,up,0.6883457265709597,0.355913050722507,0.3718323348871483,24,up,AM
BIOCARTA_ERYTH_PATHWAY,0.02493657248114552,0.9692143415878172,2.072278251823857,12,up,0.14900806025984328,0.009557258761840458,2.707828832580937,12,up,AM
BIOCARTA_EPONFKB_PATHWAY,0.13582841132818416,0.7804441291964725,1.6307908056248146,11,up,0.2601868665717803,0.027326627817682483,2.0455124994543255,11,up,AM
BIOCARTA_EIF_PATHWAY,0.9102257620288179,0.38753818118896133,0.869702905581774,16,up,0.6883781585413051,0.3621097993951491,0.3582624455994108,16,up,AM
BIOCARTA_EXTRINSIC_PATHWAY,0.8840221728390981,0.449453880194159,0.9130440877391072,9,up,NA,NA,NA,NA,NA,AM
BIOCARTA_FAS_PATHWAY,0.27455357142857145,0.5664582895423518,1.4372932167244266,30,up,0.44383692500395616,0.09203440724947383,1.3443928346925162,30,up,AM
BIOCARTA_FCER1_PATHWAY,0.8700721756468406,0.3474322146742173,0.9278867945963283,38,up,0.6811033637887993,0.3426915937195889,0.4071317797982813,38,up,AM
BIOCARTA_FIBRINOLYSIS_PATHWAY,0.8425948460020011,0.48042232196694756,0.9594911471775776,8,up,NA,NA,NA,NA,NA,AM
BIOCARTA_FMLP_PATHWAY,0.2191856468943315,0.5789867002431106,1.4853948864745716,32,up,0.4157354462639318,0.07956390918534316,1.4254116884662134,32,up,AM
BIOCARTA_FREE_PATHWAY,0.02493657248114552,0.8489132845969881,1.7573905069627227,10,up,0.3530773661992204,0.050503003901090825,1.7928063907836616,10,up,AM
BIOCARTA_GABA_PATHWAY,0.9613360130155997,-0.4221535504282816,-0.7767962424844382,5,down,NA,NA,NA,NA,NA,AM
BIOCARTA_GATA3_PATHWAY,0.9796173142980529,-0.34518414843159395,-0.7790367611699835,11,down,0.7902992125515739,0.5905961350531286,-0.2334175366351538,11,up,AM
BIOCARTA_SET_PATHWAY,0.8777746505300684,0.446522693936547,0.9243756196371026,10,up,0.7461666064451072,0.4769036120187759,0.05876043122614199,10,up,AM
BIOCARTA_GH_PATHWAY,0.9137076090054146,0.3610957548849024,0.875429768841842,25,up,0.7654087145894057,0.5230721869954135,-0.05816928257712241,25,up,AM
BIOCARTA_AHSP_PATHWAY,0.6139862960948149,-0.5467598233019355,-1.2114488756031787,10,down,0.9001972777902891,0.8492884550786302,-1.0670109318256886,10,up,AM
BIOCARTA_TCAPOPTOSIS_PATHWAY,0.8707756164185521,0.4600770142327898,0.9346244770841539,9,up,NA,NA,NA,NA,NA,AM
BIOCARTA_HIVNEF_PATHWAY,0.02493657248114552,0.6105200151439953,1.7257468760157202,56,up,0.18755263579520537,0.014058029702782453,2.2306272917582106,56,up,AM
BIOCARTA_SALMONELLA_PATHWAY,0.9698532681191641,0.42380578642006184,0.7536133142226504,5,up,NA,NA,NA,NA,NA,AM
BIOCARTA_MPR_PATHWAY,0.9509023471287622,-0.31562535308088246,-0.8246474730544618,18,down,0.8176988207573137,0.6498243214531504,-0.38822570877326734,18,up,AM
BIOCARTA_HCMV_PATHWAY,0.8521133814102564,0.41896630406944785,0.9546950344467321,17,up,0.6811350501115895,0.3445418319011495,0.404017971632636,17,up,AM
BIOCARTA_P53HYPOXIA_PATHWAY,0.18753912080504598,0.6614795630577454,1.559717192909539,21,up,0.306524527566676,0.036458258440381065,1.8418766754572726,21,up,AM
BIOCARTA_HIF_PATHWAY,0.1112500121134595,0.7349608679364229,1.6407177759974263,15,up,0.3530773661992204,0.05071129137511242,1.701705332382276,15,up,AM
BIOCARTA_IGF1_PATHWAY,1,-0.23713783078656597,-0.6489235918836381,21,down,0.8176988207573137,0.6497018229687577,-0.38824417792221144,21,up,AM
BIOCARTA_IL17_PATHWAY,0.02493657248114552,0.8389709842111706,1.8345979282074958,13,up,0.31412314221772425,0.03905390951270624,1.9110713246524274,13,up,AM
BIOCARTA_IL2_PATHWAY,0.30424547268992036,0.6105106682742674,1.4523940045379224,22,up,0.39233360318914745,0.06717758933560491,1.5319712951918314,22,up,AM
BIOCARTA_IL3_PATHWAY,0.9201087734363819,0.38479223971864585,0.8536192996397499,14,up,0.6883781585413051,0.3641344346455684,0.3519231672566372,14,up,AM
BIOCARTA_IL4_PATHWAY,1,0.3080157114503264,0.6376433224921797,10,up,0.7416166475383801,0.46858133139135694,0.08031853843873922,10,up,AM
BIOCARTA_IL5_PATHWAY,0.0421377183967112,0.8483500137228553,1.7233825282105326,9,up,NA,NA,NA,NA,NA,AM
BIOCARTA_IL6_PATHWAY,0.18104209596702975,0.6633233569228851,1.5640647149680376,21,up,0.4692269528456105,0.11225222884502262,1.2463922396127145,21,up,AM
BIOCARTA_IL10_PATHWAY,0.02493657248114552,0.8899097674449733,1.9459869844976991,13,up,0.21743122812892068,0.020493966744646902,2.2639417755087297,13,up,AM
BIOCARTA_IL12_PATHWAY,0.17566996082621084,0.6622361000604149,1.528553991409422,19,up,0.4115089406342468,0.07811792301110403,1.4617040349942085,19,up,AM
BIOCARTA_IL2RB_PATHWAY,0.0997597250524651,0.6013064906309932,1.5925533064474924,37,up,0.350554521256369,0.04939725394386674,1.674902024546032,37,up,AM
BIOCARTA_IL22BP_PATHWAY,0.17017155506364137,0.7914347821365278,1.6077619540155792,9,up,NA,NA,NA,NA,NA,AM
BIOCARTA_IL7_PATHWAY,0.43833524245895383,0.6035820766684008,1.354542884587759,16,up,0.4570072432028103,0.10327178003443697,1.291262079055662,16,up,AM
BIOCARTA_GSK3_PATHWAY,0.7179633595051155,0.4722587085780462,1.1007753366082764,20,up,0.524337370192788,0.14950343438345062,1.0529676945041946,20,up,AM
BIOCARTA_DEATH_PATHWAY,0.15802514453519317,0.634220408969107,1.5954003611803966,29,up,0.30690736359353554,0.03679736683737736,1.8335340580905304,29,up,AM
BIOCARTA_RACCYCD_PATHWAY,0.5968519697934673,0.49063124221606363,1.199861855481848,26,up,0.5889573240519682,0.1982576270372424,0.855729890943009,26,up,AM
BIOCARTA_GLEEVEC_PATHWAY,0.8884343159368439,0.37480785440113096,0.8988575026195104,23,up,0.7214718721192666,0.4336370736445282,0.168226181595907,23,up,AM
BIOCARTA_INSULIN_PATHWAY,1,-0.26367685926602835,-0.7215471864778521,21,down,0.8469567340770129,0.7211534704985171,-0.5927720381744213,21,up,AM
BIOCARTA_INTEGRIN_PATHWAY,1,0.20060579810776652,0.5184100757973794,33,up,0.7760009204088585,0.5611406431027779,-0.15473951238082448,33,up,AM
BIOCARTA_INTRINSIC_PATHWAY,0.6987539074208882,-0.42800886091020535,-1.101925581151962,16,down,0.8610646315818542,0.766661724593019,-0.7383580788161337,16,up,AM
BIOCARTA_KERATINOCYTE_PATHWAY,0.0586552217453505,0.5938889603922033,1.6341398646655245,45,up,0.3392926731870085,0.04522887070760393,1.715765496137724,45,up,AM
BIOCARTA_TCRA_PATHWAY,0.8416557531153837,-0.4071785470992537,-0.9463531126794628,12,down,0.8237781036269266,0.671423758603496,-0.4501716379252486,12,up,AM
BIOCARTA_LECTIN_PATHWAY,0.8552549672996591,0.4720955299306935,0.9590395176142973,9,up,NA,NA,NA,NA,NA,AM
BIOCARTA_PYK2_PATHWAY,1,0.22107785982640238,0.5433280956969294,27,up,0.799000283585185,0.6048078548075153,-0.26796729844530065,27,up,AM
BIOCARTA_EGFR_SMRTE_PATHWAY,0.5803444599305465,-0.5470897285485335,-1.234711999766921,11,down,0.9003544149597879,0.8506490320872322,-1.0679413552187313,11,up,AM
BIOCARTA_MAPK_PATHWAY,0.782963051373425,0.3469326947381873,1.0370851672355585,80,up,0.6450917775756265,0.2629076678472259,0.6360142181860103,80,up,AM
BIOCARTA_MCALPAIN_PATHWAY,1,0.3108244240516951,0.7082730313742144,17,up,0.7395573292545901,0.4633851129440789,0.09297409211750315,17,up,AM
BIOCARTA_PPARA_PATHWAY,0.03638714912391916,0.6163583046730733,1.6977444038940441,49,up,0.43411909954186256,0.08754606931090293,1.369652026183405,49,up,AM
BIOCARTA_ETS_PATHWAY,0.8970039939371811,0.3803641650918683,0.8667326612368592,17,up,0.7460342216270198,0.47523102989289057,0.06265983686529303,17,up,AM
BIOCARTA_MONOCYTE_PATHWAY,0.39572297168069953,0.6963804717694196,1.4146636631357352,9,up,NA,NA,NA,NA,NA,AM
BIOCARTA_MTOR_PATHWAY,1,-0.2789383686721517,-0.7633100442578118,21,down,0.8372225721796415,0.6970591882375381,-0.5223065089442882,21,up,AM
BIOCARTA_IGF1R_PATHWAY,0.38048521808299085,-0.4839660056600864,-1.3437701372508029,22,down,0.8946542582563616,0.8412480570229254,-1.0170480772506822,22,up,AM
BIOCARTA_PITX2_PATHWAY,0.5699842022116903,0.5652584830345038,1.2618762190047326,15,up,0.5797219507602841,0.1907253994197882,0.894745317703852,15,up,AM
BIOCARTA_NGF_PATHWAY,1,0.30325755547606975,0.6972073659129059,18,up,0.7281172580414477,0.4408573523778783,0.15020300949111254,18,up,AM
BIOCARTA_VIP_PATHWAY,0.35292926224112614,0.5807814985875365,1.408315124940761,24,up,0.4995866677480968,0.13050244193419766,1.1386332815140248,24,up,AM
BIOCARTA_NFAT_PATHWAY,0.5719348514552858,0.43893819425715924,1.2059731921528904,43,up,0.618979238048425,0.22707616406424663,0.7520117946487933,43,up,AM
BIOCARTA_NTHI_PATHWAY,0.02493657248114552,0.7629735314113157,1.829749496858715,23,up,0.17321904565216298,0.012050696623018503,2.3791822946875625,23,up,AM
BIOCARTA_NFKB_PATHWAY,0.04040204966495861,0.7428876780397321,1.7516711755735157,21,up,0.22274096210415403,0.021494302896047174,2.1236269449740246,21,up,AM
BIOCARTA_NOS1_PATHWAY,0.8860703664499218,-0.3435655754619421,-0.9182804135276826,19,down,0.8704281481375035,0.7874768570959767,-0.8090477647692248,19,up,AM
BIOCARTA_NO2IL12_PATHWAY,0.37113668692616064,0.6362853472083128,1.4115291224483493,14,up,0.5306332338459594,0.15385505792840654,1.0517032384961862,14,up,AM
BIOCARTA_RARRXR_PATHWAY,0.9282847670563601,-0.41780724241447276,-0.8416776744328595,7,down,NA,NA,NA,NA,NA,AM
BIOCARTA_NUCLEARRS_PATHWAY,0.5284102471341036,-0.42772738396994114,-1.222432033399853,24,down,0.8929316912904406,0.8382212123585185,-0.9978841500680229,24,up,AM
BIOCARTA_ARENRF2_PATHWAY,0.9981479965221325,0.31300312077922343,0.7224646459880996,19,up,0.7499360212768349,0.4944596118741788,0.014015878923736824,19,up,AM
BIOCARTA_P38MAPK_PATHWAY,0.6919315211504196,0.43165344285056,1.1271470884746044,35,up,0.6244571100630495,0.23569885028638884,0.7249374263809581,35,up,AM
BIOCARTA_P53_PATHWAY,0.8707756164185521,0.4139370728021,0.9289465978281652,16,up,0.685098718787531,0.3476611050355798,0.39583831313949397,16,up,AM
BIOCARTA_PDGF_PATHWAY,0.8635947778353689,0.37975595437400167,0.9419070663909116,28,up,0.6685735595316087,0.31328132681822235,0.4894602132655774,28,up,AM
BIOCARTA_CCR5_PATHWAY,0.3981050453754644,0.612086883136909,1.3947572926626608,17,up,0.6244571100630495,0.23579177500606846,0.7317092947720523,17,up,AM
BIOCARTA_PTDINS_PATHWAY,0.4351201052778401,0.5684887591315331,1.3633395893389055,23,up,0.5995981824520963,0.2076075772444736,0.8228195519213262,23,up,AM
BIOCARTA_PLCE_PATHWAY,0.8479037413047565,-0.4267993613860021,-0.9456539863092692,10,down,0.8003768914033188,0.6135743853307309,-0.29399531591270417,10,up,AM
BIOCARTA_EDG1_PATHWAY,0.9000128099125433,0.37648668585055717,0.8877262271085228,21,up,0.6883781585413051,0.3668224928236565,0.342733427802534,21,up,AM
